Label: Quattro sensor 3: ORIENT.Z 3 Sampling frequency: 7.407407e+001 Number of points: 999 start: 0.000000e+000 Unit: Q Domain Unit: s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Label: Quattro sensor 4: EMG.A 4 Sampling frequency: 2.222222e+002 Number of points: 2997 start: 0.000000e+000 Unit: V Domain Unit: s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Label: Quattro sensor 4: EMG.B 4 Sampling frequency: 2.222222e+002 Number of points: 2997 start: 0.000000e+000 Unit: V Domain Unit: s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Label: Quattro sensor 4: EMG.C 4 Sampling frequency: 2.222222e+002 Number of points: 2997 start: 0.000000e+000 Unit: V Domain Unit: s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Label: Quattro sensor 4: EMG.D 4 Sampling frequency: 2.222222e+002 Number of points: 2997 start: 0.000000e+000 Unit: V Domain Unit: s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Label: Quattro sensor 4: ORIENT.W 4 Sampling frequency: 7.407407e+001 Number of points: 999 start: 0.000000e+000 Unit: Q Domain Unit: s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Label: Quattro sensor 4: ORIENT.X 4 Sampling frequency: 7.407407e+001 Number of points: 999 start: 0.000000e+000 Unit: Q Domain Unit: s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Label: Quattro sensor 4: ORIENT.Y 4 Sampling frequency: 7.407407e+001 Number of points: 999 start: 0.000000e+000 Unit: Q Domain Unit: s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Label: Quattro sensor 4: ORIENT.Z 4 Sampling frequency: 7.407407e+001 Number of points: 999 start: 0.000000e+000 Unit: Q Domain Unit: s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Trigger Method: None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop Trigger Method: None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X[s],Quattro sensor 1: EMG.A 1,X[s],Quattro sensor 1: EMG.B 1,X[s],Quattro sensor 1: EMG.C 1,X[s],Quattro sensor 1: EMG.D 1,X[s],Quattro sensor 1: ORIENT.W 1,X[s],Quattro sensor 1: ORIENT.X 1,X[s],Quattro sensor 1: ORIENT.Y 1,X[s],Quattro sensor 1: ORIENT.Z 1,X[s],Quattro sensor 2: EMG.A 2,X[s],Quattro sensor 2: EMG.B 2,X[s],Quattro sensor 2: EMG.C 2,X[s],Quattro sensor 2: EMG.D 2,X[s],Quattro sensor 2: ORIENT.W 2,X[s],Quattro sensor 2: ORIENT.X 2,X[s],Quattro sensor 2: ORIENT.Y 2,X[s],Quattro sensor 2: ORIENT.Z 2,X[s],Quattro sensor 3: EMG.A 3,X[s],Quattro sensor 3: EMG.B 3,X[s],Quattro sensor 3: EMG.C 3,X[s],Quattro sensor 3: EMG.D 3,X[s],Quattro sensor 3: ORIENT.W 3,X[s],Quattro sensor 3: ORIENT.X 3,X[s],Quattro sensor 3: ORIENT.Y 3,X[s],Quattro sensor 3: ORIENT.Z 3,X[s],Quattro sensor 4: EMG.A 4,X[s],Quattro sensor 4: EMG.B 4,X[s],Quattro sensor 4: EMG.C 4,X[s],Quattro sensor 4: EMG.D 4,X[s],Quattro sensor 4: ORIENT.W 4,X[s],Quattro sensor 4: ORIENT.X 4,X[s],Quattro sensor 4: ORIENT.Y 4,X[s],Quattro sensor 4: ORIENT.Z 4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0045,0,0.0045,0,0.0045,0,0.0045,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0045,0,0.0045,0,0.0045,0,0.0045,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0045,0,0.0045,0,0.0045,0,0.0045,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0045,0,0.0045,0,0.0045,0,0.0045,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0
0.009,0,0.009,0,0.009,0,0.009,0,0.027,0,0.027,0,0.027,0,0.027,0,0.009,0,0.009,0,0.009,0,0.009,0,0.027,0,0.027,0,0.027,0,0.027,0,0.009,0,0.009,0,0.009,0,0.009,0,0.027,0,0.027,0,0.027,0,0.027,0,0.009,0,0.009,0,0.009,0,0.009,0,0.027,0,0.027,0,0.027,0,0.027,0
0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0405,0,0.0405,0,0.0405,0,0.0405,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0405,0,0.0405,0,0.0405,0,0.0405,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0405,0,0.0405,0,0.0405,0,0.0405,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0405,0,0.0405,0,0.0405,0,0.0405,0
0.018,0,0.018,0,0.018,0,0.018,0,0.054,0,0.054,0,0.054,0,0.054,0,0.018,0,0.018,0,0.018,0,0.018,0,0.054,0,0.054,0,0.054,0,0.054,0,0.018,0,0.018,0,0.018,0,0.018,0,0.054,0,0.054,0,0.054,0,0.054,0,0.018,0,0.018,0,0.018,0,0.018,0,0.054,0,0.054,0,0.054,0,0.054,0
0.0225,0,0.0225,0,0.0225,0,0.0225,0,0.0675,0,0.0675,0,0.0675,0,0.0675,0,0.0225,0,0.0225,0,0.0225,0,0.0225,0,0.0675,0,0.0675,0,0.0675,0,0.0675,0,0.0225,0,0.0225,0,0.0225,0,0.0225,0,0.0675,0,0.0675,0,0.0675,0,0.0675,0,0.0225,0,0.0225,0,0.0225,0,0.0225,0,0.0675,0,0.0675,0,0.0675,0,0.0675,0
0.027,0,0.027,0,0.027,0,0.027,0,0.081,0,0.081,0,0.081,0,0.081,0,0.027,0,0.027,0,0.027,0,0.027,0,0.081,0,0.081,0,0.081,0,0.081,0,0.027,0,0.027,0,0.027,0,0.027,0,0.081,0,0.081,0,0.081,0,0.081,0,0.027,0,0.027,0,0.027,0,0.027,0,0.081,0,0.081,0,0.081,0,0.081,0
0.0315,0,0.0315,0,0.0315,0,0.0315,0,0.0945,0,0.0945,0,0.0945,0,0.0945,0,0.0315,0,0.0315,0,0.0315,0,0.0315,0,0.0945,0,0.0945,0,0.0945,0,0.0945,0,0.0315,0,0.0315,0,0.0315,0,0.0315,0,0.0945,0,0.0945,0,0.0945,0,0.0945,0,0.0315,0,0.0315,0,0.0315,0,0.0315,0,0.0945,0,0.0945,0,0.0945,0,0.0945,0
0.036,0,0.036,0,0.036,0,0.036,0,0.108,0,0.108,0,0.108,0,0.108,0,0.036,0,0.036,0,0.036,0,0.036,0,0.108,0,0.108,0,0.108,0,0.108,0,0.036,0,0.036,0,0.036,0,0.036,0,0.108,0,0.108,0,0.108,0,0.108,0,0.036,0,0.036,0,0.036,0,0.036,0,0.108,0,0.108,0,0.108,0,0.108,0
0.0405,0,0.0405,0,0.0405,0,0.0405,0,0.1215,0,0.1215,0,0.1215,0,0.1215,0,0.0405,0,0.0405,0,0.0405,0,0.0405,0,0.1215,0,0.1215,0,0.1215,0,0.1215,0,0.0405,0,0.0405,0,0.0405,0,0.0405,0,0.1215,0,0.1215,0,0.1215,0,0.1215,0,0.0405,0,0.0405,0,0.0405,0,0.0405,0,0.1215,0,0.1215,0,0.1215,0,0.1215,0
0.045,0,0.045,0,0.045,0,0.045,0,0.135,0.6232872,0.135,0.757,0.135,0.1462746,0.135,-0.1306381,0.045,0,0.045,0,0.045,0,0.045,0,0.135,0.2309418,0.135,0.2378693,0.135,-0.4025002,0.135,-0.8532753,0.045,0,0.045,0,0.045,0,0.045,0,0.135,0.6833725,0.135,0.1194954,0.135,0.3239899,0.135,-0.6432343,0.045,0,0.045,0,0.045,0,0.045,0,0.135,0.8220177,0.135,-0.400547,0.135,0.1091728,0.135,-0.3897667
0.0495,0,0.0495,0,0.0495,0,0.0495,0,0.1485,0.624588,0.1485,0.756237,0.1485,0.1433945,0.1485,-0.1320305,0.0495,0,0.0495,0,0.0495,0,0.0495,0,0.1485,0.2303085,0.1485,0.2384224,0.1485,-0.4049721,0.1485,-0.8521194,0.0495,0,0.0495,0,0.0495,0,0.0495,0,0.1485,0.6817932,0.1485,0.1230774,0.1485,0.3205452,0.1485,-0.6459503,0.0495,0,0.0495,0,0.0495,0,0.0495,0,0.1485,0.8208809,0.1485,-0.3998909,0.1485,0.1099586,0.1485,-0.3926086
0.054,0,0.054,0,0.054,0,0.054,0,0.162,0.6253166,0.162,0.7557793,0.162,0.1420479,0.162,-0.1326675,0.054,0,0.054,0,0.054,0,0.054,0,0.162,0.2298393,0.162,0.2383003,0.162,-0.4062538,0.162,-0.8516731,0.054,0,0.054,0,0.054,0,0.054,0,0.162,0.6809578,0.162,0.1250648,0.162,0.3188972,0.162,-0.6472664,0.054,0,0.054,0,0.054,0,0.054,0,0.162,0.8204269,0.162,-0.3993378,0.162,0.1102295,0.162,-0.3940392
0.0585,0,0.0585,0,0.0585,0,0.0585,0,0.1755,0.6271133,0.1755,0.7545662,0.1755,0.1394539,0.1755,-0.1338348,0.0585,0,0.0585,0,0.0585,0,0.0585,0,0.1755,0.229641,0.1755,0.2386513,0.1755,-0.4087868,0.1755,-0.8504143,0.0585,0,0.0585,0,0.0585,0,0.0585,0,0.1755,0.6791153,0.1755,0.1292305,0.1755,0.315567,0.1755,-0.6500092,0.0585,0,0.0585,0,0.0585,0,0.0585,0,0.1755,0.8196831,0.1755,-0.3976593,0.1755,0.1102638,0.1755,-0.3972664
0.063,0,0.063,0,0.063,0,0.063,0,0.189,0.6281013,0.189,0.7538719,0.189,0.1381989,0.189,-0.1344147,0.063,0,0.063,0,0.063,0,0.063,0,0.189,0.229702,0.189,0.2390938,0.189,-0.4100266,0.189,-0.8496742,0.063,0,0.063,0,0.063,0,0.063,0,0.189,0.6782646,0.189,0.1313133,0.189,0.3137283,0.189,-0.6513672,0.063,0,0.063,0,0.063,0,0.063,0,0.189,0.8195,0.189,-0.3964958,0.189,0.1098709,0.189,-0.3989105
0.0675,0,0.0675,0,0.0675,0,0.0675,0,0.2025,0.6302109,0.2025,0.7524185,0.2025,0.1355743,0.2025,-0.1353416,0.0675,0,0.0675,0,0.0675,0,0.0675,0,0.2025,0.2289314,0.2025,0.2386742,0.2025,-0.4126854,0.2025,-0.8487129,0.0675,0,0.0675,0,0.0675,0,0.0675,0,0.2025,0.677002,0.2025,0.1348877,0.2025,0.3092728,0.2025,-0.6540756,0.0675,0,0.0675,0,0.0675,0,0.0675,0,0.2025,0.8192863,0.2025,-0.3939362,0.2025,0.1084938,0.2025,-0.4022446
